question,1,2,3,4,answer
Welcome to Radio News and now over to our___ who's covering the procession this morning.,reviewer,reporter,announcer,introducer,reporter
"Hi listeners, I should explain that I have a ___eye view of this magnificent sight as the parade passesunderneath me.",cat's,dog's,bird's,rat's,bird's
To tell you the truth I shouldn't be ___up here on top of this large statue of Field Marshal Smith.,caught,catching,cornered,perched,perched
There is a long line of soldiers on horseback marching to the sound of a ___band.,copper,brass,zinc,aluminium,brass
"It really is quite uncomfortable up here and there's a policeman ___at me, which I don't like.",spying,guiding,staring,starring,staring
After the soldiers I can see a group of circus ___who are jumping and dancing as they go.,members,doers,actors,performers,performers
Next I can see some pensioners slowly moving along the road and some can't walk and are in ___,highchairs,low chairs,wheelchairs,pushchairs,wheelchairs
That policeman is getting out his ___and walking near the statue I'm sitting on.,notebook,exercise book,storybook,copybook,notebook
It has started to rain and I shall get ___to the skin if I stay much longer up here.,sunk,suited,stuck,soaked,soaked
"Oh dear, listeners, I shall have to return you to the studio because the policeman says he is going to ___me.",seize,arrest,grasp,hold,arrest
I would be most obliged if you ___,let me to pay later,permit me pay later,allow me to pay later,grant me to pay later,allow me to pay later
The other thing I could do is ___,leave my watch as a present,leave my watch as a token,leave my watch as a gift,leave my watch as a deposit,leave my watch as a deposit
I can see by the expression on your face ___,you don't really like the thought,you don't really like the concept,you don't really like the idea,you don't really like the belief,you don't really like the idea
I could phone someone to ___,take me the money,bring me the money,carry me the money,gain me the money,bring me the money
I see. So what you are saying is ___,I'm holding up your trade,I'm holding off your trade,I'm holding on your trade,I'm holding in your trade,I'm holding up your trade
"Well, I did say I was sorry and I think ___",you're being very indistinct,you're being very unclear,you're being very unfavourable,you're being very unreasonable,you're being very unreasonable
You say you have no choice but to ___,collect the manager,call the manager,deliver the manager,present the manager,call the manager
That sounds a good idea. I'm sure he'll ___,symbolise,energise,sympathise,eulogise,sympathise
"All right, all right Mr manager. Just as you say, ___",of course I'll wash the dishes in the kitchen,inevitably I'll wash the dishes in the kitchen,understandably I'll wash the dishes in the kitchen,indubitably I'll wash the dishes in the kitchen,of course I'll wash the dishes in the kitchen
AccountsIn order to check all the telephone calls made during the month I want the account to be ___,detailed,particular,specialized,itemized,itemized
All the representatives are allowed to spend money for entertaining with their___account.,expensive,expending,expense,expenses,expense
To spread the cost of spending on articles you buy many big departments let you open a ___,credible,credit,credited,credulous,credit
"Once you are earning money and you want to keep it safe, you can always ___an account with a bank.",open,start,begin,commence,open
At the end of thirty days the company will ask you to___ the account.,arrange,finish,end,settle,settle
The finance director is responsible for ___the accounts for the business.,holding,keeping,taking,finding,keeping
At the end of the financial year it is the responsibility of the chief finance officer to ___the accounts.,print,edit,publish,direct,publish
"Before they got married, they decided to open a ___account.",united,joint,unified,combined,joint
"If you have saved some money, it is a good idea to put the money into a ___account.",heap,pile,lump,deposit,deposit
"However hard I try, I find it impossible to account ___this missing sum of money.",with,to,for,by,for
"AdvertisingIn order to make a sensible ___ among the different vacuum cleaners available, it is important to do someresearch.",comparing,comparison,compares,comparative,comparison
